METERID,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geo Local Area,Latitude,Longitude,Avg_Weekday_Rate,Avg_Weekend_Rate,Is_Weekend_Cheaper
761804,Pay Station,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59945,Mount_Pleasant,49.26883378,-123.1065141,1,2,False
521810,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50030,Mount_Pleasant,49.26871498,-123.10934,1.5,3,False
A30116,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50757,Mount_Pleasant,49.26817001,-123.1013941,1.5,3,False
B40320,Pay Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50158,Mount_Pleasant,49.26744996,-123.111247,1.5,3,False
EB5818,Pay Station,3,1,3,1,3,1,1.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57091,Kerrisdale,49.23294597,-123.154974,2,4,False
072231,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59810,Grandview-Woodland,49.28124621,-123.0585138,1,2,False
072305,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59815,Grandview-Woodland,49.28123772,-123.0574964,1,2,False
GD0317,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59813,Grandview-Woodland,49.28151119,-123.0579023,1,2,False
GD0314,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59814,Grandview-Woodland,49.28149117,-123.0577497,1,2,False
GD0405,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59824,Grandview-Woodland,49.28087208,-123.0579178,1,2,False
GD0406,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59823,Grandview-Woodland,49.28087196,-123.057755,1,2,False
TH1817,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.26807978,-123.0947288,1,2,False
161325,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67822,West_End,49.28337601,-123.1356799,1,2,False
LB2118,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50953,Arbutus_Ridge,49.24846396,-123.154416,1,2,False
C90127,Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56522,Riley_Park,49.25375348,-123.1013843,1,2,False
C80206,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56410,Riley_Park,49.25473373,-123.1005821,1,2,False
C90132,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56812,Riley_Park,49.25366042,-123.1012633,1,2,False
E00131,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56584,Riley_Park,49.25275754,-123.1012857,1,2,False
010339,Twin Bay Single,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66956,Strathcona,49.28406181,-123.0956406,1,2,False
010341,Twin Bay Single,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67047,Strathcona,49.28406181,-123.0956406,1,2,False
522115,Twin Bay Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,50901,Mount_Pleasant,49.265916,-123.1095659,1.5,3,False
620316,Pay Station,6,1,6,1,6,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,60910,Downtown,49.28613627,-123.1144495,3.5,7,False
B60016,Single,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,52919,Mount_Pleasant,49.26554497,-123.105772,1.5,3,False
C90203,Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56972,Riley_Park,49.2539369,-123.1005532,1,2,False
072435,Pay Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59817,Hastings-Sunrise,49.28122987,-123.0551576,1,2,False
620905,Twin Bay Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66348,Downtown,49.28074547,-123.1228467,3,6,False
620907,Twin Bay Single,5,1,5,1,5,1,3.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,66335,Downtown,49.28074547,-123.1228467,3,6,False
C80208,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56817,Riley_Park,49.25473373,-123.1005821,1,2,False
C80136,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56592,Riley_Park,49.25456155,-123.1013061,1,2,False
C90131,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56472,Riley_Park,49.25375035,-123.1012349,1,2,False
C90130,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56405,Riley_Park,49.25366042,-123.1012633,1,2,False
E00129,Twin Bay Single,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,56333,Riley_Park,49.25275754,-123.1012857,1,2,False
