METERID,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geo Local Area,Latitude,Longitude,Avg_Weekday_Rate,Avg_Weekend_Rate,Is_Weekend_Cheaper
761804,Pay_Station,1,1,1,1,1,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59945,Mount_Pleasant,49.26883378006674,-123.10651410105437,1,2,False
521810,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50030,Mount_Pleasant,49.26871497649197,-123.10933997630968,1.5,3,False
A30116,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50757,Mount_Pleasant,49.26817000733011,-123.10139406040383,1.5,3,False
B40320,Pay_Station,2,1,2,1,2,1,1,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50158,Mount_Pleasant,49.267449960294115,-123.1112470069986,1.5,3,False
EB5818,Pay_Station,3,1,3,1,3,1,1.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,57091,Kerrisdale,49.232945966745646,-123.15497397721086,2,4,False
072231,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59810,Grandview-Woodland,49.28124620889672,-123.05851383326026,1,2,False
072305,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,59815,Grandview-Woodland,49.28123772447557,-123.05749635884833,1,2,False
GD0317,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59813,Grandview-Woodland,49.28151119101056,-123.05790233106386,1,2,False
GD0314,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59814,Grandview-Woodland,49.28149117215399,-123.05774972843665,1,2,False
GD0405,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59824,Grandview-Woodland,49.28087208491275,-123.05791784837773,1,2,False
GD0406,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59823,Grandview-Woodland,49.2808719595333,-123.0577550001375,1,2,False
TH1817,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,2,Yes,59968,Strathcona,49.26807977528027,-123.09472882232834,1,2,False
161325,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,67822,West_End,49.28337601056842,-123.13567993670524,1,2,False
LB2118,Pay_Station,1,1,1,1,1,1,0.5,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4,2,4,2,4,13,Yes,50953,Arbutus_Ridge,49.24846396011186,-123.1544160395143,1,2,False
