METERID,Geo Local Area,Latitude,Longitude,Day,Time,Rate
761804,Mount_Pleasant,49.26883378,-123.1065141,Mon-Fri,9AMM_6PMM,1
521810,Mount_Pleasant,49.26871498,-123.10934,Mon-Fri,9AMM_6PMM,2
A30116,Mount_Pleasant,49.26817001,-123.1013941,Mon-Fri,9AMM_6PMM,2
B40320,Mount_Pleasant,49.26744996,-123.111247,Mon-Fri,9AMM_6PMM,2
EB5818,Kerrisdale,49.23294597,-123.154974,Mon-Fri,9AMM_6PMM,3
72231,Grandview-Woodland,49.28124621,-123.0585138,Mon-Fri,9AMM_6PMM,1
72305,Grandview-Woodland,49.28123772,-123.0574964,Mon-Fri,9AMM_6PMM,1
GD0317,Grandview-Woodland,49.28151119,-123.0579023,Mon-Fri,9AMM_6PMM,1
GD0314,Grandview-Woodland,49.28149117,-123.0577497,Mon-Fri,9AMM_6PMM,1
GD0405,Grandview-Woodland,49.28087208,-123.0579178,Mon-Fri,9AMM_6PMM,1
GD0406,Grandview-Woodland,49.28087196,-123.057755,Mon-Fri,9AMM_6PMM,1
TH1817,Strathcona,49.26807978,-123.0947288,Mon-Fri,9AMM_6PMM,1
161325,West_End,49.28337601,-123.1356799,Mon-Fri,9AMM_6PMM,1
LB2118,Arbutus_Ridge,49.24846396,-123.154416,Mon-Fri,9AMM_6PMM,1
C90127,Riley_Park,49.25375348,-123.1013843,Mon-Fri,9AMM_6PMM,1
B42040,Kitsilano,49.26803632,-123.1523953,Mon-Fri,9AMM_6PMM,6
C80206,Riley_Park,49.25473373,-123.1005821,Mon-Fri,9AMM_6PMM,1
C90132,Riley_Park,49.25366042,-123.1012633,Mon-Fri,9AMM_6PMM,1
E00131,Riley_Park,49.25275754,-123.1012857,Mon-Fri,9AMM_6PMM,1
10339,Strathcona,49.28406181,-123.0956406,Mon-Fri,9AMM_6PMM,1
10341,Strathcona,49.28406181,-123.0956406,Mon-Fri,9AMM_6PMM,1
522115,Mount_Pleasant,49.265916,-123.1095659,Mon-Fri,9AMM_6PMM,2
620316,Downtown,49.28613627,-123.1144495,Mon-Fri,9AMM_6PMM,6
B60016,Mount_Pleasant,49.26554497,-123.105772,Mon-Fri,9AMM_6PMM,2
KL0401,Hastings-Sunrise,49.28097281,-123.0546866,Mon-Fri,9AMM_6PMM,1
B42002,Kitsilano,49.26801515,-123.1506475,Mon-Fri,9AMM_6PMM,6
C90203,Riley_Park,49.2539369,-123.1005532,Mon-Fri,9AMM_6PMM,1
72435,Hastings-Sunrise,49.28122987,-123.0551576,Mon-Fri,9AMM_6PMM,1
161640,West_End,49.28603883,-123.1400673,Mon-Fri,9AMM_6PMM,1
B42107,Kitsilano,49.26822875,-123.1533141,Mon-Fri,9AMM_6PMM,6
B42109,Kitsilano,49.26822855,-123.1534626,Mon-Fri,9AMM_6PMM,6
620905,Downtown,49.28074547,-123.1228467,Mon-Fri,9AMM_6PMM,5
620907,Downtown,49.28074547,-123.1228467,Mon-Fri,9AMM_6PMM,5
C80208,Riley_Park,49.25473373,-123.1005821,Mon-Fri,9AMM_6PMM,1
C80136,Riley_Park,49.25456155,-123.1013061,Mon-Fri,9AMM_6PMM,1
C90131,Riley_Park,49.25375035,-123.1012349,Mon-Fri,9AMM_6PMM,1
C90130,Riley_Park,49.25366042,-123.1012633,Mon-Fri,9AMM_6PMM,1
E00129,Riley_Park,49.25275754,-123.1012857,Mon-Fri,9AMM_6PMM,1
522117,Mount_Pleasant,49.265916,-123.1095659,Mon-Fri,9AMM_6PMM,2
B42036,Kitsilano,49.26803657,-123.1522042,Mon-Fri,9AMM_6PMM,6
620901,Downtown,49.28085876,-123.1226881,Mon-Fri,9AMM_6PMM,5
752316,Mount_Pleasant,49.26402126,-123.1047597,Mon-Fri,9AMM_6PMM,2
751804,Mount_Pleasant,49.26884901,-123.104568,Mon-Fri,9AMM_6PMM,2
B30214,Mount_Pleasant,49.26832402,-123.1099399,Mon-Fri,9AMM_6PMM,2
751805,Mount_Pleasant,49.26890103,-123.104736,Mon-Fri,9AMM_6PMM,2
B30141,Mount_Pleasant,49.268415,-123.108558,Mon-Fri,9AMM_6PMM,2
B30142,Mount_Pleasant,49.26829904,-123.1083821,Mon-Fri,9AMM_6PMM,2
A30019,Mount_Pleasant,49.26833119,-123.1037811,Mon-Fri,9AMM_6PMM,2
A30117,Mount_Pleasant,49.26828799,-123.101336,Mon-Fri,9AMM_6PMM,2
A30134,Mount_Pleasant,49.268188,-123.102208,Mon-Fri,9AMM_6PMM,2
A40115,Mount_Pleasant,49.26737503,-123.101069,Mon-Fri,9AMM_6PMM,2
MY0506,Fairview,49.26799407,-123.1174199,Mon-Fri,9AMM_6PMM,1
72115,Grandview-Woodland,49.28125386,-123.0611056,Mon-Fri,9AMM_6PMM,1
72124,Grandview-Woodland,49.28108309,-123.0608456,Mon-Fri,9AMM_6PMM,1
72224,Grandview-Woodland,49.28107512,-123.0588766,Mon-Fri,9AMM_6PMM,1
MY0418,Fairview,49.26831876,-123.1175444,Mon-Fri,9AMM_6PMM,1
522406,Mount_Pleasant,49.26354122,-123.1093646,Mon-Fri,9AMM_6PMM,1
TH1818,Strathcona,49.26798058,-123.0947178,Mon-Fri,9AMM_6PMM,1
774221,Arbutus_Ridge,49.24815682,-123.1533779,Mon-Fri,9AMM_6PMM,1
761803,Mount_Pleasant,49.26888248,-123.1066767,Mon-Fri,9AMM_6PMM,2
A40114,Mount_Pleasant,49.267266,-123.101177,Mon-Fri,9AMM_6PMM,2
A40136,Mount_Pleasant,49.26727896,-123.102188,Mon-Fri,9AMM_6PMM,2
